comment_id,video_id,text,author_id,author,published_at,bot_probability
c7f317504ff8abd4ea948d905eabd139,5Cv52R4pHaM,I❤ Ana K,UCYo-zPUcnTUb9ONa-ZNhBeA,@johnbreckbuhl4849,2025-12-07T00:26:07Z,0.5358098781754119
4f9eebe4b199d8595511365b613863aa,5Cv52R4pHaM,Respect Ana,UCL3zBne2HXubvS_7-ex36Dw,@sondaabarnard5589,2025-12-07T00:01:50Z,0.5259195983342546
fe4a2d96942fefd9b616913aa15e00b8,2vRLc0SEEJY,Pearl Harbor Sneak-Attack Day,UCqnkmhEyKT9PQ7QwIlTs5Xw,@MP-BXR,2025-12-07T20:07:13Z,0.5226269422083542
84ebf04819f8c4202f1a1dc9a64515c0,2vRLc0SEEJY,"Most people think freedom is about having choices, but this book made me realize how many of those choices are pre-designed. Shadow Leaders Exposed changed how I look at everything from politics to entertainment.",UCTZGDGYhMwREfni3LJ3MZag,@EdgardoGranger,2025-12-07T21:29:17Z,0.5183680014999115
2491238fb77d3ab50ab9a39c09f63c04,2vRLc0SEEJY,"Most people think freedom is about having choices, but this book made me realize how many of those choices are pre-designed. Shadow Leaders Exposed changed how I look at everything from politics to entertainment.",UCyTtvWQ90jcoDlad8eDR2MA,@AurellieBorden,2025-12-07T21:29:22Z,0.5182979287687829
f4168209a2f2c215a2ef37ed44c8e3d9,RbOzJPeFc6k,Explain Woke,UCygJavDYut5Spoi6e8dQrXA,@SwisstedChef2018,2025-12-07T22:52:21Z,0.5181458749052741
0d258ea70b159273c71899e9e58da75c,bfqVnG9vVao,Ashley Laurella Pantone is honestly the best,UCoBzO9AMKG4voZ8tFQEUcxw,@samiblhn,2025-12-07T22:47:34Z,0.5172469446598045
7793dcfc9dfe89971b89604bf7b695a2,RbOzJPeFc6k,"Hegseth,Trump, and the admiral should be prosecuted and locked up,forever!",UCOnULsxLCgbXeD313udb7Ow,@EDUARDO-bj9wf,2025-12-07T22:52:10Z,0.5117315547836663
2eea83ce4ed631a5d6df797992c06ddc,-u40Rg-9t54,"Trump approval rate: 36% 
Dem approval rate: *18%
*lowest in recorded history",UCAtf28aTnQKlF_35alP8qbg,@carlfisher6472,2025-12-07T19:15:08Z,0.5096405974071517
8c8ad18a1eb1c33865d76936216bef73,dQWfdEyorm8,"I dream of Ana
s lovely enchilada",UCeoY3tpYSRKcxAAWBRbjm3A,@sterlingfury,2025-12-07T22:03:04Z,0.5031108096463657
e9fe4c8cbfc69c60e6ee502427c825c3,2vRLc0SEEJY,"I thought I was making my own choices, but this book showed me how many of those choices were shaped long before I even knew it. Shadow Leaders Exposed opened my eyes in a way I wasn’t expecting.",UC435aCoFVMzZb6SeFfY_0wQ,@BonnieChani,2025-12-07T21:28:45Z,0.5016538037907883
49fe79c35e676b0e35c52b29bfc0e749,2vRLc0SEEJY,"Anybody else besides me looking forward to Cankles, great, big, beautiful, obituary?",UCIAfEDr39yoxzsMT8F1v16g,@donvonschitzinpantz,2025-12-07T20:10:11Z,0.5011475863817912
7a610d268f835e5f47f946a8594ba706,5Cv52R4pHaM,"It's obviously a fishing boat, you can tell because it's blacked out and has 4 250s on the back 😂",UCudFHoEF0HLhpWZ9lHgBnLA,@Lowwboyyy,2025-12-06T23:30:49Z,0.5005638443586342
44623da89950d1503d55ab0f98e1aa80,dQWfdEyorm8,🙏🙏🙏🙏❤FRANCE🇫🇷,UC-SvdXahzFZUrZ9dFB1N8Wg,@NajıbnidamEloudghırı,2025-12-07T21:20:31Z,0.4997914737752115
64545fe22892d2a106ac5865433e473d,-u40Rg-9t54,"It's nuts that somebody in the USA could feel sorry for Drug Runners bringing DRUGS THAT KILL 1000's of us.    Fentanyl, Meth, etc.  These killers are MASS MURDERERS.   Only a Democrat and their Media bitch about it. Defund the police, sanctuary cities for illegals and now you back mass murderers on high speed boats with the USA as the destination.    These punks knew the risk and paid the price.  Grow up.",UCXxZrzmQ_Lgz-wfS_hJkVfA,@FOXCNN,2025-12-07T22:31:56Z,0.4989031690760999
c3c28d1c7c845fe05d382acb6309d57f,dQWfdEyorm8,And nothing will happen,UC8rUviggPbEZjsf5K39c-QQ,@johndymond4596,2025-12-07T20:36:08Z,0.49710958872495997
a2e07ec344ef6f3ba3df45b16561c8dd,5Cv52R4pHaM,Can’t wait for the big beautiful obituary,UCQjpwm-ADmQEMHBFG705R1g,@elchicano187,2025-12-07T04:50:27Z,0.49698037506293646
15aa0997e988bce9a1da4afe0f3f9d75,bfqVnG9vVao,i recommend Ashley Laurella Pantone,UCHem59SB51gNLnaL_ol7buQ,@RajendarRajendar-x3s,2025-12-07T22:47:24Z,0.4968262642110861
eaa18bc6d3375878152776323f9af31e,RbOzJPeFc6k,Hegseth And Trump Should Be Imprisoned For Murder and Treason 😠🔥👍,UC5HfGOpbgyQHcFrP24DJF7A,@MichaelOBrien-z8i,2025-12-07T22:53:38Z,0.4967479803923971
10cf9ca89ac4deb799900b0d8b905f11,5Cv52R4pHaM,💯!,UCNdI2IdVuepMei5q2RuNc2Q,@CelticRN8,2025-12-07T00:26:06Z,0.4963848943078267
